row_num,trip_id,reason,raw_row
532,id3307903,anomalous data,id3307903|2|2016-02-20 04:03:06|2016-02-21 03:33:00|3|-74.008102416992188|40.741489410400391|-74.009956359863281|40.714611053466797|N|84594
1135,id1091477,anomalous data,id1091477|2|2016-05-07 18:36:22|2016-05-08 18:32:11|1|-73.990242004394531|40.750919342041016|-73.976280212402344|40.750888824462891|N|86149
1866,id3431345,anomalous data,id3431345|2|2016-06-07 12:58:48|2016-06-08 12:58:00|6|-73.9549560546875|40.77764892578125|-73.981033325195313|40.74371337890625|N|86352
3443,id1487069,anomalous data,id1487069|2|2016-02-13 00:21:49|2016-02-14 00:19:05|1|-73.968589782714844|40.799217224121094|-73.979583740234375|40.784713745117188|N|86236
4173,id3674870,anomalous data,id3674870|2|2016-03-18 11:54:20|2016-03-19 11:34:17|1|-73.989089965820313|40.736991882324219|-73.972335815429687|40.751510620117187|N|85197
4337,id3632390,anomalous data,id3632390|2|2016-06-08 08:54:33|2016-06-09 07:58:09|5|-73.980560302734375|40.742465972900391|-73.984718322753906|40.748611450195313|N|83016
5105,id3354426,anomalous data,id3354426|2|2016-05-05 15:18:41|2016-05-06 15:11:07|1|-73.989036560058594|40.773513793945313|-73.980682373046875|40.781520843505859|N|85946
5779,id0773526,anomalous data,id0773526|2|2016-04-02 14:58:45|2016-04-03 14:19:55|6|-73.987991333007812|40.761341094970703|-74.002922058105469|40.756278991699219|N|84070
6133,id3617210,anomalous data,id3617210|2|2016-03-15 17:51:32|2016-03-16 17:18:04|1|-73.965606689453125|40.765781402587891|-73.972648620605469|40.75341796875|N|84392
6514,id0067152,anomalous data,id0067152|2|2016-02-27 21:04:05|2016-02-28 21:03:22|5|-73.993743896484375|40.727443695068359|-74.001335144042969|40.729244232177734|N|86357
8512,id3013398,anomalous data,id3013398|2|2016-05-17 12:43:48|2016-05-18 12:38:03|2|-74.00262451171875|40.733619689941406|-73.994483947753906|40.750602722167969|N|86055
10147,id1148048,anomalous data,id1148048|2|2016-06-04 14:22:55|2016-06-05 14:19:45|2|-74.002357482910156|40.739871978759766|-74.001556396484375|40.746593475341797|N|86210
10151,id2500786,anomalous data,id2500786|2|2016-05-09 18:14:42|2016-05-10 17:44:54|1|-73.863624572753906|40.769664764404297|-73.983863830566406|40.773868560791016|N|84612
10499,id0843794,anomalous data,id0843794|2|2016-01-08 08:09:48|2016-01-09 07:23:50|2|-73.995719909667969|40.748939514160156|-73.979896545410156|40.752273559570312|N|83642
11667,id3375271,anomalous data,id3375271|2|2016-05-20 11:38:47|2016-05-21 11:24:31|2|-73.969818115234375|40.797248840332031|-73.940460205078125|40.819568634033203|N|85544
12666,id0614225,anomalous data,id0614225|2|2016-03-25 20:01:22|2016-03-26 19:39:59|2|-74.001068115234375|40.720123291015625|-73.982192993164063|40.757572174072266|N|85117
15064,id0222074,anomalous data,id0222074|2|2016-06-26 11:55:51|2016-06-27 11:54:26|3|-74.015296936035156|40.704902648925781|-73.989761352539063|40.757358551025391|N|86315
16416,id2891888,anomalous data,id2891888|2|2016-06-05 10:26:37|2016-06-06 10:18:51|4|-73.955810546875|40.782352447509766|-73.789894104003906|40.64324951171875|N|85934
17811,id2647716,anomalous data,id2647716|2|2016-03-26 22:27:58|2016-03-27 21:36:20|1|-74.000770568847656|40.742290496826172|-73.982498168945313|40.739547729492188|N|83302
